countryname,wbcode,iso3,region,incgroup2,incgroup4,fragile,survey,year,status,cohort,parent,child,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,SDp,SDc,GINIp,GINIc,IGP,NL1,NL2,COR,MAcatM,MAcatC1,Q4_IGpri,BHQ1,BHQ2,BHQ3,BHQ4,Q4BH,Q4child,Delta50,Asher_Q4_IGpri,ThreeGen_obs,ThreeGen_IGPp1,ThreeGen_IGPg1,ThreeGen_IGPgsd,All2125_MEANp,All2125_MEANc,All2125_IGP,All2125_MAcatC1,Cores2125_MEANp,Cores2125_MEANc,Cores2125_IGP,Cores2125_MAcatC1,Shortfall0611_obs,Shortfall0611_IGP,Shortfall1217_obs,Shortfall1217_IGP,IGEincome,S1,S2,S3,MLD_psu
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,avg,all,3956,.6661247611045837,.0985829159617424,.1709306836128235,.0430314727127552,.0213301815092564,.5118569731712341,.0258046202361584,.1641912907361984,.1834691464900971,.1146779507398605,2.480162143707275,5.582400798797607,3.809781551361084,5.857764720916748,.7285471,.5699805,.8021074533462524,1.078013300895691,-.0253216493874788,.5216758251190186,.4166906476020813,.4143547117710114,.5737478733062744,.34191155,.32516107,.20939521,.12353215,.16225474,.25031137,3.4080079,,,,,,,,,,,,,,25103,.086197421,18054,.34522423,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,avg,daughter,721,.6153210997581482,.0992717519402504,.2127755880355835,.0519690588116646,.0206624772399664,.6284814476966858,.0233784224838018,.0992650985717773,.1323224008083344,.1165526136755943,2.989991664886475,4.33173131942749,4.010379314422607,5.902685165405273,.6755262,.68160439,.8481556177139282,.9048658609390259,-.0051999730058014,.5762506127357483,.2848945558071137,.2830750346183777,.4931105971336365,.43412745,.39091837,.10128321,.073670976,.28518534,.21473452,1.8595284,,,,,,,,,,,,,,12107,.083271116,8538,.38995206,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,avg,son,3235,.6786986589431763,.0984124317765236,.1605740636587143,.0408194214105606,.0214954372495413,.4829924702644348,.0264051035046577,.1802605092525482,.1961279511451721,.1142139732837677,2.353979349136353,5.891941070556641,3.748494863510132,5.806140899658203,.74154115,.54186976,.8076744675636292,1.168598771095276,-.0330914035439491,.521441638469696,.4493101835250855,.4468740820884705,.5999706387519836,.3221156,.31102744,.23262766,.13422927,.1222675,.25911665,3.740587,,,,,,,,,,,,,,12996,.08916077,9516,.30768731,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,dad,all,4137,.6865805387496948,.047609806060791,.057308591902256,.1509070843458176,.0575940012931824,.5145621299743652,.0260469391942024,.1656379252672195,.181550994515419,.1122020035982132,3.756048679351807,5.538275241851807,5.493762016296387,5.842034816741943,.71374172,.57256633,.5144277811050415,.5787226557731628,-.0047915708273649,.4837602078914642,.3543329834938049,.350244015455246,.5480288863182068,.33444256,.31713122,.21958622,.12884,.19243364,.25029549,3.5384467,,,,,,,,,,,,,,25396,.050446834,18387,.2180616,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,dad,daughter,744,.6390916109085083,.0523284114897251,.0540863126516342,.1900999546051025,.0643937215209007,.6303539872169495,.0227813776582479,.1037357077002525,.1295528709888458,.1135760694742203,4.520877361297607,4.277768135070801,5.804775238037109,5.869736671447754,.66003948,.68475091,.4917918741703033,.5532552599906921,-.0044942675158381,.4863491058349609,.2351697236299515,.2301260381937027,.4545039236545563,.42999589,.38542944,.10436318,.080211505,.33962888,.21254209,1.9749413,,,,,,,,,,,,,,12246,.047960997,8677,.23090886,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,dad,son,3393,.6981243491172791,.046462781727314,.0580918826162815,.1413798779249191,.0559410899877548,.4864148497581482,.0268407482653856,.1806854456663132,.1941909641027451,.1118679866194725,3.570130109786987,5.844685554504395,5.400092124938965,5.794935703277588,.72672403,.54484957,.5338913202285767,.6042808890342712,-.0052727591246367,.4975140988826752,.3832998275756836,.3791815042495728,.5769110321998596,.31413037,.30261728,.24408224,.13917011,.14699176,.25947276,3.870815,,,,,,,,,,,,,,13150,.052881472,9710,.20933609,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,max,all,3956,.6661247611045837,.0439612232148647,.0585282407701015,.1686511933803558,.0627345815300941,.5118569731712341,.0258046202361584,.1641912907361984,.1834691464900971,.1146779507398605,4.061754703521729,5.582400798797607,5.66209077835083,5.857764720916748,.69425935,.5699805,.5258420705795288,.4947876036167145,.0022942742798477,.5082767009735107,.3416896760463715,.3363759815692902,.5606034994125366,.34174517,.32595274,.20898862,.12331346,.17293204,.25029159,3.3992336,.56371403,231,.45045185,.35750839,.18344457,,,,,,,,,25103,.053183399,18054,.22326519,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,max,daughter,721,.6153210997581482,.0422435812652111,.0632122680544853,.2086018174886704,.0706212073564529,.6284814476966858,.0233784224838018,.0992650985717773,.1323224008083344,.1165526136755943,4.854204177856445,4.33173131942749,5.915504455566406,5.902685165405273,.63691068,.68160439,.5145763754844666,.5016953349113464,.0009384230943397,.5156939625740051,.2226874530315399,.2161085903644562,.4696760773658752,.43342194,.39141044,.10274356,.072424076,.29909042,.21421477,1.8620093,,,,,,,,,,,,,,12107,.049939092,8538,.23969002,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,max,son,3235,.6786986589431763,.0443863421678543,.0573689453303814,.1587634235620499,.0607826486229897,.4829924702644348,.0264051035046577,.1802605092525482,.1961279511451721,.1142139732837677,3.865623474121094,5.891941070556641,5.581286907196045,5.806140899658203,.70841169,.54186976,.5420712828636169,.5180326700210571,.0017821269575506,.5210785865783691,.3711426854133606,.3658303320407867,.5896782875061035,.32226291,.31199902,.23160486,.1341332,.13259201,.25922057,3.7262812,,,,,,,,,,,,,,12996,.056295931,9516,.21112321,,,,,.1
Afghanistan,AFG,AFG,South Asia,Developing economies,Low income,1,NRVA,1980,Co-residents only,1980,mom,all,4371,.9111127853393555,.0095800524577498,.024668276309967,.0469116196036339,.0077272388152778,.5245342254638672,.0261117480695248,.164397731423378,.1789413541555405,.1060149446129799,1.06112015247345,5.442731380462647,3.286447048187256,5.805833339691162,.91542548,.57791591,.6443731188774109,1.043843984603882,-.0320715457201004,.3647534847259522,.4477729201316834,.4461551308631897,.4058122634887695,.27602455,.27614468,.25008854,.19774222,.3479304,.25034192,4.6701646,,,,,,,,,,,,,,25475,.06669008,18427,.25846499,,,,,.1
