"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;196,683;196,954;214,23;248,049;270,189;321,441;377,256;430,867;532,072;602,183;661,087;635,635;629,332;594,513;560,601;569,531;565,426;577,213;603,052;634,539;672,619;716,644
Albania;704,588;791,287;798,011;790,099;764,21;764,529;829,098;806,596;779,387;839,702;671,661;410,32;262,17;456,289;752,493;917,36;1009,967;717,381;818,32;1032,264;1127,64;1283,573;1425,125;1846,119;2373,58;2673,729;2975,623;3594,101;4377,04;4130,929;4098,125;4438,925;4248,814;4415,662;4584,914;3953,61;4132,208;4544,912;5260,901;5448,339;5860,246;6338,274;6873,993;7391,188
Algeria;2268,607;2305,505;2254,328;2316,679;2432,717;2753,697;2698,915;2705,111;2143,742;2127,866;2473,512;1819,984;1873,422;1894,946;1542,974;1499,143;1643,265;1658,732;1633,09;1630,071;1794,695;1768,577;1806,86;2128,385;2636,309;3141,027;3508,959;3986,564;4943,502;3886,059;4480,719;5453,894;5574,507;5477,055;5466,329;4153,326;3928,385;4033,902;4449,792;4645,659;4738,474;4759,444;4826,249;4962,672
Angola;814,575;742,315;723,183;734,426;758,449;829,231;754,806;841,298;888,559;1006,051;1078,609;1015,057;759,849;535,408;378,514;458,635;525,403;599,077;493,041;452,677;652,11;619,697;841,42;951,969;1222,038;1862,424;2561,859;3099,087;4081,688;3146,802;3641,444;4716,253;5245,023;5436,516;5625,736;4354,921;3676,826;4465,734;3924,347;3666,347;3702,478;3707,992;3757,571;3822,332
Antigua and Barbuda;1920,27;2177,102;2448,568;2752,963;3200,967;3764,001;4617,601;5455,277;6547,27;7273,222;7623,412;7927,571;8084,421;8474,018;9097,242;8675,225;9266,488;9678,3;10074,768;10349,505;10981,376;10414,643;10482,368;10893,152;11582,523;12738,001;14264,568;15996,056;16514,078;14616,947;13613,471;13346,768;14006,82;13646,308;14488,092;15282,667;16175,594;16702,484;17476,74;18165,831;18790,656;19342,39;19910,324;20494,934
Argentina;8106,24;6467,988;3158,507;3841,894;4241,377;3149,677;3739,41;3790,752;4386,527;2779,87;4709,661;6233,393;7420,317;7558,499;8125,908;8053,119;8385,153;8918,826;9005,377;8452,876;8386,587;7851,658;2898,289;3648,061;4314,397;5163,55;5976,082;7315,726;9146,79;8337,811;10412,945;12787,806;13889,792;14488,829;13208,831;14895,316;12708,865;14462,92;10667,104;9054,77;9766,747;10352,778;10926,334;11481,666
Armenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;31,321;247,884;196,98;399,576;503,774;521,869;608,415;597,241;620,638;692,287;779,122;923,387;1180,399;1628,063;2128,151;3079,031;3913,436;2911,763;3121,778;3417,172;3575,529;3732,035;3889,004;3529,026;3526,336;3857,179;4190,152;4446,617;4705,273;4985,789;5285,413;5604,307
Aruba;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;16546,617;16620,854;17751,072;18825,012;19215,013;20678,398;20909,299;21081,787;21704,381;23421,303;23874,635;24389,24;26114,088;27204,889;24594,675;23468,6;24801,812;24236,809;24253,141;24577,389;24647,278;23978,2;24371,203;24881,454;25229,388;25563,684;25989,719;26447,527;26911,258
Australia;10987,836;12506,031;12212,916;11571,278;12552,612;10947,982;11225,114;12975,43;16216,978;18171,762;18837,364;18632,941;18081,909;17423,683;19703,903;20867,554;23105,998;22993,456;20339,652;21716,417;20841,157;19423,899;21637,018;27204,067;32711,983;36122,349;37829,233;45041,769;49083,92;45617,781;56357,41;67104,954;68321,336;65064,275;61546,548;51404,406;51861,44;55692,73;56698,098;57203,578;59229,284;61047,7;63229,438;65627,338
Austria;10731,967;9280,738;9267,674;9417,245;8882,639;9090,805;12886,109;16093,032;17632,834;17547,831;21827,464;22621,905;25068,425;24152,686;25725,585;30350,562;29820,629;26737,482;27399,071;27209,314;24631,6;24554,263;26482,842;32290,938;36871,579;38477,287;40672,629;46922,406;51953,557;48095,38;46958,519;51441,105;48615,802;50748,087;51801,379;44296,59;44733,406;47347,437;51707,556;52474,348;54868,46;56803,587;58980,515;60990,141
